task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,971.0,1463.9109088216237,external,[],0
2,142.0,368.21380413191207,external,[1],1
3,142.0,463.8086697795157,external,[1],1
4,142.0,310.1611004990078,external,[1],0
5,103.0,418.6442283899141,external,[1],0
6,96.0,594.3332725736875,internal,[1],0
7,99.0,378.827142980104,external,[1],0
8,1207.0,720.1777743110355,external,[],0
9,160.0,683.9391726422416,external,"[4, 5, 6, 7, 8]",0
10,180.0,483.72188979112633,external,[9],1
11,82.0,376.2392449953726,internal,[10],1
12,60.0,452.2832780286882,external,[11],1
13,112.0,586.3311257057634,external,[12],1
14,420.0,481.4267315716154,external,[12],2
15,1556.0,1026.0347377150113,external,[12],1
16,236.0,532.3606115444733,external,"[13, 15]",2
17,259.0,413.7963538481004,external,"[13, 15]",1
18,125.0,603.2519916452233,external,[13],1
19,601.0,702.6861639395873,external,[17],2
20,80.0,302.0660233175089,external,[19],2
21,80.0,506.54174562205895,external,[19],2
22,70.0,529.4714115665574,external,"[14, 19]",2
23,89.0,450.3695057352758,external,[20],2
24,89.0,244.45074994943093,external,[21],2
25,105.0,379.32212281007423,external,[22],2
26,330.0,759.430726208462,external,[25],2
27,132.0,498.94923039715104,external,[26],2
28,69.0,226.6073696812268,external,[27],2
29,99.0,550.6547194104935,external,"[16, 28]",2
30,70.0,862.664095630885,external,"[16, 28]",2
31,70.0,341.97613463721785,external,"[16, 28]",2
32,158.0,393.18060295053385,external,[28],2
33,191.0,367.5571675214396,internal,[28],2
34,70.0,509.8621807689813,internal,[28],2
35,53.0,412.9493412311118,internal,"[29, 30, 31, 32, 33, 34]",2
36,50.0,573.1723557149375,internal,"[2, 3, 23, 24, 35]",2
37,125.0,309.8877240073658,internal,[36],2
38,353.0,662.0824274321293,internal,[37],2
39,70.0,255.19313859706068,internal,[37],2
40,128.0,422.26580373702336,external,[37],2
41,65.0,586.1889210537022,internal,"[38, 39, 40]",2
42,1775.0,1059.6037500130756,internal,"[18, 41]",2
43,91.0,832.2698424698559,internal,[42],3
44,91.0,542.0013542843634,internal,[42],2
45,113.0,349.00170239316515,internal,[42],3
46,487.0,392.839009330293,internal,[42],3
47,138.0,419.4293535077756,internal,[42],3
48,80.0,282.73448089092767,internal,[43],3
49,80.0,363.36900310089055,internal,[44],3
50,65.0,230.13345825961085,external,[46],3
51,40.0,402.3683359095575,internal,"[45, 47, 48, 49, 50]",3
52,742.0,538.5511477156397,internal,"[45, 47, 48, 49, 50]",3
53,1085.0,1214.8179455340426,internal,"[51, 52]",3
