task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,70.0,131.09418674541075,external,[],0
2,59.0,68.16616630392772,external,[],0
3,33.0,43.39021313581262,external,[1],2
4,6.0,19.81490493740639,external,[1],3
5,1.0,48.935106133090265,external,[1],3
6,27.0,28.361150889208535,internal,[2],0
7,17.0,32.854651913360435,internal,[6],0
8,62.0,42.51438927076849,external,[1],1
9,31.0,80.19534271937117,external,[8],1
10,53.0,64.57349395639932,internal,[9],1
11,21.0,42.03069680597313,internal,[10],1
12,19.0,42.28846065640074,external,[10],2
13,108.0,119.0149690447607,internal,[12],3
14,52.0,47.14352475609334,internal,[13],3
15,5.0,27.543884108143672,internal,[11],3
16,8.0,22.512290802145714,internal,[13],5
17,97.0,78.05084964617578,external,[2],2
18,8.0,51.161688359445264,internal,[7],5
19,47.0,126.4840876889636,external,[1],4
20,67.0,60.78093051368619,external,[19],5
21,17.0,52.26022935038142,external,[1],4
22,8.0,42.35317872195205,external,[1],5
23,3.0,32.27989716347471,external,[1],5
24,21.0,36.39906024429295,external,[1],2
25,107.0,86.4936816405986,external,[24],4
26,3.0,31.94417567241696,external,[1],1
27,2.0,60.708576573218366,internal,[26],2
28,72.0,51.73676086890129,internal,"[3, 4, 5, 14, 15, 16, 17, 18, 20, 21, 22, 23, 25, 27]",5
