task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,6.0,3.7294061514619306,external,[],0
2,2.0,3.4565343266916786,external,[1],0
3,5.0,4.252313687821635,external,[1],1
4,7.0,3.842003535850738,external,[1],3
5,1.0,2.376561567753116,external,[1],3
6,2.0,2.7185711092574123,external,[2],1
7,3.0,2.498262355845032,external,"[3, 4, 5]",4
8,6.0,4.4676036078988055,internal,[6],2
9,5.0,4.679963285133555,external,[7],4
10,5.0,3.092409651666583,internal,[8],5
11,4.0,3.3347502646284664,internal,"[9, 10]",5
