task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,4.0,9.2448530883178,external,[],1
2,38.0,42.30032568992444,external,[],0
3,45.0,58.94354473585449,external,[],1
4,12.0,23.725916617540346,external,"[1, 2]",1
5,10.0,17.811135391918338,internal,[2],0
6,8.0,24.523384492863254,external,[4],2
7,12.0,25.17443813555131,external,[5],0
8,10.0,31.22583321803762,internal,[6],2
9,2.0,20.95861515970178,internal,[7],0
10,10.0,24.73696449241224,internal,"[8, 9]",2
11,34.0,27.759962761573192,internal,"[3, 10]",2
