task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,4.0,5.122481056007814,external,[],0
2,3.0,3.693449509615264,external,[1],2
3,9.0,6.7032836166367815,external,[1],0
4,5.0,6.053246690033311,external,[3],0
5,9.0,5.160338537995782,external,[4],1
6,4.0,3.406292842064815,external,[5],2
7,8.0,11.52892299197989,external,[5],1
8,7.0,6.959828577193548,external,"[6, 7]",2
9,5.0,5.50397468036685,internal,[8],2
10,1.0,4.721660313236287,external,[9],2
11,3.0,3.1189614021834213,external,[9],2
12,1.0,3.391245240260778,internal,[9],3
13,5.0,9.82301044334694,internal,[9],2
14,3.0,4.759752297323786,external,[7],3
15,5.0,4.143011420936217,internal,"[10, 11, 12]",3
16,3.0,2.742478265948595,internal,[15],3
17,13.0,7.20605763615071,internal,"[13, 16]",4
18,5.0,4.56254949771508,internal,"[13, 15]",3
19,2.0,4.455655843020068,internal,"[14, 18]",4
20,3.0,3.2326120929111326,internal,[17],4
21,7.0,7.115875573270522,internal,"[2, 4]",2
