task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,4.0,4.126735270282701,external,[],0
2,3.0,4.931700859790982,external,[],0
3,9.0,6.4898901037745285,external,"[1, 2]",0
4,5.0,5.571517402622478,external,[3],1
5,9.0,6.358631562396505,external,[4],1
6,4.0,3.3922835010813133,external,[5],2
7,8.0,4.721069078471466,external,[6],3
8,7.0,6.621861359962642,external,[4],2
9,5.0,5.267411219006566,external,[8],2
10,1.0,2.932335941313477,external,"[6, 9]",7
11,3.0,4.015924601261866,internal,"[7, 8]",3
12,1.0,2.679601439059095,external,[7],4
13,5.0,4.069958572844424,external,"[9, 11]",3
14,3.0,2.991765003569733,external,[13],4
15,5.0,8.66567627767239,external,[12],4
16,3.0,4.91526005928826,internal,[14],4
17,13.0,7.975120453346101,internal,[15],5
18,5.0,5.479786824481444,external,"[16, 17]",6
19,2.0,2.3021313858135275,internal,[14],7
20,3.0,2.7765151946855395,internal,[14],4
21,7.0,6.262760585857265,internal,[20],6
22,5.0,3.408549820985002,internal,"[15, 19, 21]",7
23,3.0,5.31107773111496,internal,[17],5
24,8.0,7.10662222807764,internal,[21],7
25,4.0,4.622690540714483,internal,"[18, 20, 23]",6
