task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,10.0,24.52850211875568,external,[],1
2,53.0,31.957849144292563,external,[],11
3,41.0,43.488251205671055,external,[],0
4,36.0,21.87846841852459,external,[],12
5,35.0,22.13399494123457,external,[],5
6,17.0,27.248769170066527,external,[],4
7,34.0,29.491006908539212,external,[],6
8,23.0,17.225952987715072,external,[],2
9,14.0,21.11145987284397,external,[1],2
10,52.0,28.09295308618005,external,[4],13
11,33.0,30.386634950477436,external,[9],2
12,34.0,29.315514210023903,external,[],1
13,12.0,17.70052887969853,external,[11],3
14,52.0,35.12322828866047,external,[11],3
15,12.0,25.35178966340445,external,[11],3
16,33.0,20.68842905741996,external,[],1
17,44.0,29.933922484924683,external,"[12, 13, 14, 15]",4
18,7.0,17.382151861002644,external,[16],2
19,15.0,17.275849235490483,external,[18],4
20,13.0,17.15610643854804,external,[17],6
21,29.0,30.34482434750938,internal,"[3, 20]",6
22,37.0,31.47725636088126,external,[3],0
23,43.0,32.70656669617277,external,"[6, 19]",7
24,23.0,29.73133189557344,external,[6],5
25,24.0,17.26661840028627,external,"[2, 20]",11
26,9.0,17.76694272132823,external,[21],7
27,16.0,21.49350346974139,external,[22],5
28,12.0,21.56342878255462,external,[],8
29,26.0,22.041957527918775,internal,[26],7
30,22.0,24.242853590041648,external,[27],7
31,51.0,31.99408076504123,internal,"[23, 24, 29]",7
32,47.0,35.79258105744805,external,[28],10
33,34.0,22.637475266802507,external,[28],8
34,23.0,55.87875526647955,external,[30],8
35,12.0,14.237758597870096,external,[33],9
36,52.0,52.572927490321305,internal,"[5, 31, 34]",8
37,12.0,18.38964205711273,internal,[36],8
38,33.0,24.396235787769328,internal,"[25, 36]",11
39,44.0,37.84217668887975,internal,[37],9
40,7.0,12.799882027687865,internal,[37],8
41,15.0,20.92811797389765,internal,[37],9
42,13.0,18.566880200539742,internal,[41],9
43,29.0,20.683529926449435,external,"[7, 35, 39, 40, 42]",9
44,37.0,61.80053343130196,external,"[8, 21]",9
45,43.0,49.89739645383375,internal,"[32, 43, 44]",10
46,23.0,26.162867721679156,external,[45],10
47,24.0,17.695043198302862,internal,[46],10
48,9.0,18.16445318106159,internal,[45],10
49,16.0,26.01033418598798,internal,[45],11
50,12.0,19.257364797782657,internal,[46],13
51,26.0,41.30635222828852,internal,[47],11
52,12.0,13.822196958537075,internal,"[38, 51]",12
53,52.0,28.689468595225495,internal,[52],12
54,12.0,15.218314578703351,internal,[53],12
55,33.0,56.23933024820805,external,"[48, 54]",12
56,44.0,36.965229201177586,internal,[54],13
57,7.0,19.29390962603707,internal,"[55, 56]",13
58,15.0,15.309859737187104,internal,"[49, 50, 57]",13
