task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,23.0,19.247164437641565,external,[],0
2,24.0,13.497763160175955,external,[1],0
3,25.0,15.60885343558784,external,[1],6
4,26.0,13.831728831180852,external,[1],5
5,23.0,14.370641318136617,external,[1],2
6,22.0,12.457403679678263,external,[1],1
7,6.0,11.732249882104773,internal,[1],1
8,22.0,16.779451442829696,external,[4],9
9,23.0,14.804219089849273,external,[6],1
10,21.0,16.466113047323926,external,[6],6
11,22.0,17.24526782268773,external,[6],2
12,15.0,14.677929018971568,external,[5],11
13,5.0,23.750011909834928,external,"[3, 6]",8
14,23.0,15.636932649575396,external,[4],8
15,4.0,5.029227745246834,external,"[2, 5]",2
16,26.0,18.86840446724065,external,[4],7
17,21.0,15.977731930302555,external,[15],16
18,5.0,7.48417469635883,external,[10],6
19,24.0,15.956171574606351,external,[12],18
20,25.0,17.121721440581233,external,"[9, 15]",3
21,26.0,17.52401438591439,external,[16],12
22,26.0,19.378618299495812,external,[13],17
23,24.0,19.291887228892755,external,[15],14
24,27.0,17.17604368045456,external,"[3, 9]",9
25,20.0,17.057180642137837,external,[24],11
26,23.0,17.320939474180072,external,"[16, 18]",7
27,25.0,17.96131145808923,external,[20],3
28,13.0,9.99579739153564,external,[25],16
29,3.0,18.551473115803276,external,[27],5
30,11.0,21.80083030487011,external,"[17, 18, 25]",20
31,21.0,16.636501895741496,external,[26],11
32,22.0,14.836947842873236,external,[26],10
33,21.0,14.5857333884798,external,"[21, 25]",16
34,22.0,12.188125122501274,external,[25],20
35,25.0,18.244073611897196,external,[27],4
36,8.0,9.944268191326792,external,[27],10
37,22.0,16.795006719337604,external,[31],15
38,24.0,19.47436138693575,external,[35],14
39,22.0,18.869710906447903,external,[31],18
40,21.0,18.002551847668393,external,[36],17
41,6.0,9.908126035826736,external,"[26, 33]",19
42,26.0,17.460939762473448,external,[35],4
43,22.0,15.70870859360916,external,[36],10
44,6.0,6.525880799259789,external,[32],15
45,21.0,15.207921132095926,external,[32],20
46,25.0,14.118643903345893,internal,[40],17
47,11.0,13.45240072747165,internal,[42],4
48,22.0,16.1285207904361,external,"[43, 46]",19
49,21.0,12.896220626032893,internal,[47],4
50,25.0,18.766174837247817,internal,"[43, 47]",12
51,22.0,16.19136928266652,internal,"[39, 46]",20
52,22.0,14.238291070794736,external,[47],8
53,23.0,16.26599292142028,internal,[47],4
54,22.0,13.708155557810269,internal,[50],18
55,22.0,15.370973544864476,internal,[50],18
56,25.0,33.838147281113756,internal,[52],17
57,23.0,18.42879537490866,internal,[52],21
58,21.0,14.112069301714495,internal,[53],5
59,22.0,14.163070039394114,internal,[49],9
60,22.0,15.555910700913383,internal,[50],14
61,22.0,16.39787720797115,internal,[49],15
62,22.0,16.995980389549544,internal,"[49, 50]",13
63,21.0,17.905076209903008,external,[55],21
64,27.0,20.77097059659632,internal,[59],20
65,23.0,18.408840032670906,external,[58],12
66,2.0,9.849587159686688,internal,[59],9
67,26.0,25.832775803857952,internal,[62],16
68,25.0,16.400299319931317,internal,[66],9
69,24.0,15.602938527816764,internal,[68],16
70,22.0,13.920846921667335,external,[68],19
71,24.0,13.48262889506967,internal,[68],14
72,4.0,10.343840413676617,internal,[68],14
73,22.0,17.07318785041661,internal,[68],12
74,10.0,12.802648658123251,internal,[68],18
75,25.0,16.660720656232456,internal,[68],13
