task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,16.0,72.91577079530676,internal,[],0
2,30.0,63.73065617805358,external,[],0
3,7.0,43.19046487872194,external,[2],0
4,47.0,57.16812136485194,external,[3],0
5,29.0,63.20451871134984,external,"[1, 3]",0
6,8.0,46.051297530965435,external,"[1, 3]",0
7,39.0,65.64479895770909,external,"[1, 3]",0
8,37.0,39.13331701139244,external,"[1, 4]",0
9,32.0,70.23894552737234,external,[6],0
10,29.0,69.66702567546378,external,[8],0
11,17.0,71.96677995903714,external,[],0
12,11.0,68.76585159938037,external,[11],0
13,32.0,44.34890329508245,internal,[12],0
14,15.0,112.06542156205481,external,"[5, 7, 9, 10]",0
15,53.0,91.19867081907887,external,[14],0
16,53.0,50.59074285582547,external,[14],0
17,8.0,67.91487777929308,external,"[15, 16]",0
18,24.0,62.19176337094088,external,[17],0
19,24.0,35.40941995659615,external,[17],0
20,8.0,40.45964879955002,external,"[18, 19]",0
21,7.0,134.0875370849131,external,[20],0
22,8.0,37.48383521833247,external,[20],0
23,14.0,40.93323854609355,internal,[20],0
24,13.0,54.59201660266086,internal,[20],0
25,10.0,59.209121558507235,internal,"[21, 22, 23, 24]",0
26,25.0,60.02009157607896,internal,"[21, 22, 23, 24]",0
27,11.0,73.9454395862639,internal,"[21, 22, 23, 24]",0
28,25.0,119.2119775546484,internal,"[21, 22, 23, 24]",0
29,11.0,52.23034363032702,internal,"[25, 26, 27, 28]",0
30,29.0,39.451233808450155,external,[],0
31,25.0,51.95965716509364,internal,[29],0
32,10.0,34.44390676867018,external,[],0
33,14.0,37.406651900644036,internal,[],0
34,41.0,80.11172474499313,internal,[32],0
35,42.0,50.18683726104149,external,[33],0
36,47.0,76.6286085238829,internal,"[31, 34, 35]",0
37,7.0,44.0116774744141,internal,[36],0
38,80.0,90.21404850235379,internal,[37],0
39,7.0,62.94763323025085,internal,[38],0
40,41.0,44.74551615204663,internal,[39],0
41,47.0,82.82066153272709,internal,[40],0
42,16.0,34.52270422161888,internal,[],0
43,32.0,157.3446766409384,external,[42],0
44,66.0,67.52222608416244,external,[43],0
45,80.0,97.051995738622,internal,[37],0
46,7.0,41.2025031941356,internal,[45],0
47,41.0,67.07885654145338,internal,[46],0
48,13.0,56.85331514778463,internal,"[40, 47]",0
49,47.0,64.1648323843228,internal,[47],0
50,33.0,54.32510006429887,external,[],0
51,34.0,43.187586791019186,external,[50],0
52,11.0,59.934543483825784,external,[],0
53,118.0,115.40842893913289,external,"[51, 52]",0
54,25.0,38.07873029142529,internal,"[40, 47]",0
55,7.0,67.54562068177508,internal,[54],0
56,28.0,44.11523769506127,external,[],0
57,12.0,52.71389819584476,external,[],0
58,52.0,91.34901224222767,external,[],0
59,14.0,74.01630129600588,external,[],0
60,3.0,82.98840626426338,external,[],0
61,3.0,38.460528134257416,external,[],0
62,8.0,67.74284444234053,external,[61],0
63,16.0,75.99942562860066,external,[62],0
64,33.0,124.7654933834898,external,[],0
65,8.0,40.91493474197872,external,[64],0
66,18.0,35.187469178560235,internal,[65],0
67,10.0,56.355673021103655,external,"[63, 66]",0
68,14.0,36.79107174516408,external,[67],0
69,28.0,42.1566950419181,external,[51],0
70,11.0,55.23068299531333,external,[],0
71,118.0,84.51954840760743,external,"[64, 70]",0
72,25.0,52.42133738465613,internal,"[54, 64]",0
73,40.0,75.65035003894302,internal,[56],0
74,40.0,177.93498205613463,external,[],0
75,101.0,68.54770018367614,external,"[59, 74]",0
76,5.0,65.12549801385796,internal,[54],0
77,28.0,54.029817994604294,internal,[76],0
78,8.0,38.13917100139507,internal,[77],0
79,281.0,175.7531619271137,external,[69],0
80,7.0,42.14903306992354,external,[79],0
81,26.0,45.48672860002825,internal,[80],0
82,10.0,35.00085958526406,internal,"[57, 78, 81]",0
83,21.0,73.4715801970842,internal,[82],0
84,26.0,58.10992527547129,internal,[83],0
85,20.0,56.276453180759354,internal,[79],0
86,21.0,79.62701662927876,external,"[58, 73]",0
87,47.0,86.88425392427916,external,[86],0
88,23.0,77.32906408743531,external,"[58, 73]",0
89,13.0,54.63307165961127,internal,"[54, 59, 73]",0
90,19.0,64.7664392538698,internal,"[54, 73, 75]",0
91,115.0,112.42457265075973,external,[],0
92,35.0,65.95122424311865,external,[],0
93,26.0,52.61488257755484,external,[],0
94,46.0,50.61908071408877,external,[],0
95,20.0,69.8048030609817,external,[68],0
96,31.0,57.81729514541201,external,[73],0
97,19.0,74.2035420636499,external,[75],0
98,34.0,39.390057411001436,internal,[68],0
99,51.0,81.08662998982136,internal,[65],0
100,39.0,74.24171353785577,external,[99],0
101,30.0,45.377798593778365,external,"[95, 98, 100]",0
102,26.0,54.37475283124825,external,[101],0
103,13.0,28.749199320224054,external,[101],0
104,45.0,89.69181925978398,external,[96],0
105,58.0,52.69013635320057,external,[91],0
106,28.0,64.28359142047003,internal,[84],0
107,8.0,69.85917176843007,internal,[106],0
108,383.0,210.68567777765418,internal,[107],0
109,40.0,70.38074324558909,internal,[108],0
110,34.0,59.20597966874071,internal,[109],0
111,23.0,48.70803295931197,internal,[90],0
112,162.0,120.03131064337597,internal,[111],0
113,11.0,29.728132216016085,internal,[112],0
114,19.0,72.88249543908258,internal,[113],0
115,14.0,75.53880891694821,internal,[114],0
116,31.0,66.78282563129557,internal,[113],0
117,32.0,80.66324711015854,internal,[116],0
118,26.0,68.46375923536871,internal,[117],0
119,55.0,71.7801093484239,external,[105],0
120,31.0,59.700769441510914,internal,[113],0
121,32.0,55.89859469207744,internal,[120],0
122,26.0,49.89156758600376,internal,[121],0
123,19.0,77.74941657595474,internal,[113],0
124,14.0,60.33416831434756,external,[123],0
125,19.0,107.1823097702242,internal,"[115, 124]",0
126,48.0,51.914664918348,internal,"[118, 122]",0
127,55.0,85.78896462155805,external,"[102, 103]",0
128,8.0,100.39139363368184,internal,[113],0
129,11.0,34.34134852773432,internal,[128],0
130,27.0,65.87390396512087,internal,[129],0
131,18.0,40.13559880695396,internal,[130],0
132,36.0,70.72352060870976,external,[],0
133,23.0,61.24176593292528,internal,[55],0
134,20.0,60.76457608183179,internal,[72],0
135,46.0,87.60373203045687,internal,"[92, 132, 133, 134]",0
136,64.0,131.19615559496154,internal,[135],0
137,22.0,73.26768410220699,internal,[130],0
138,15.0,50.253854186486045,external,[],0
139,34.0,77.0773862024362,external,[138],0
140,22.0,57.77043384812724,external,[139],0
141,151.0,113.47982619685712,external,[],0
142,148.0,94.08975875912458,external,[141],0
143,64.0,92.35396932249321,external,"[79, 142]",0
144,170.0,137.30106077353383,external,[],0
145,137.0,114.09002690077237,external,[144],0
146,64.0,71.57276778001187,external,"[79, 142]",0
147,78.0,65.90322851287624,external,"[142, 145]",0
148,78.0,68.20484289139183,external,"[142, 145]",0
