task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,7.0,11.298583950864813,external,[],0
2,19.0,15.339391699546265,external,[],0
3,15.0,10.570645868640966,external,[1],0
4,5.0,18.09557491689158,external,[3],0
5,12.0,8.811493012461693,external,[4],0
6,10.0,10.240545093524302,external,[2],0
7,8.0,10.235173154682961,external,[],0
8,16.0,15.249352584511223,external,"[5, 6]",0
9,2.0,14.230900353093663,external,[7],0
10,6.0,11.158145567353564,external,[9],0
11,21.0,14.100963047036645,internal,[8],0
12,10.0,7.270486020130754,internal,[7],0
13,9.0,8.661175294888844,external,[5],0
14,4.0,9.50085010167247,external,[10],0
15,14.0,11.036777643546877,external,"[10, 12]",0
16,7.0,10.206799106990808,internal,"[8, 14]",0
17,14.0,11.479182095838448,external,"[11, 13]",0
18,17.0,10.61904468019007,internal,[16],0
19,10.0,7.535461381764262,internal,[15],0
20,16.0,15.92141060909045,internal,[17],0
21,1.0,3.3685939309138395,internal,[19],0
22,9.0,19.87071925344166,internal,"[18, 21]",0
23,25.0,17.847513744675314,internal,"[20, 22]",0
24,14.0,9.436571116871779,internal,[23],0
25,14.0,13.447497686600563,external,"[1, 7]",0
26,2.0,15.622840132544512,external,[2],0
27,10.0,11.341419987941247,external,[26],0
28,7.0,10.227605975261072,internal,[23],0
29,20.0,15.415370687141245,internal,"[24, 25, 27, 28]",0
