task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,29.0,35.25593305047174,external,[],0
2,3.0,9.260238819081554,external,[1],0
3,5.0,17.769184666171082,external,[2],0
4,22.0,47.05308394827797,external,[3],0
5,6.0,13.707236493403107,external,[1],0
6,14.0,21.988656744654275,external,[5],0
7,2.0,17.162135678419343,external,"[1, 6]",0
8,5.0,10.590681007810034,external,[6],0
9,22.0,18.204529534414412,external,[8],0
10,30.0,24.709914057301084,external,[1],0
11,23.0,25.03401186292922,internal,[4],0
12,30.0,25.18918798472363,external,[1],0
13,23.0,20.95372637020312,internal,[9],0
14,2.0,11.748812655796717,external,"[7, 10]",0
15,19.0,23.41094471926218,internal,[14],0
16,29.0,22.152093118327755,external,[15],0
17,2.0,12.979524024768908,external,[],0
18,2.0,13.482197902295074,external,"[7, 12]",0
19,19.0,19.152216825829964,external,[18],0
20,29.0,28.220196987434058,external,"[17, 19]",0
21,6.0,10.40862053501047,external,"[16, 20]",0
22,10.0,15.560219347835288,internal,[21],0
23,16.0,35.74534507712879,internal,[22],0
24,23.0,22.140541068968606,internal,[23],0
25,5.0,16.05794880653267,internal,[21],0
26,5.0,9.140928485736081,internal,[25],0
27,5.0,12.997414823541373,internal,"[24, 26]",0
28,40.0,23.564445684266925,internal,"[11, 13, 27]",0
29,2.0,10.577734464027335,internal,[28],0
30,5.0,8.617875580302066,internal,[21],0
31,5.0,11.115196228415343,internal,[30],0
32,1.0,8.807048432026889,internal,"[21, 31]",0
33,40.0,43.38883803822111,internal,"[11, 13, 27, 32]",0
34,2.0,8.13364094144108,internal,[27],0
35,2.0,8.21280851548696,internal,[33],0
