task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,9.0,9.009681318745718,external,[],0
2,9.0,10.54759125777339,external,[],0
3,10.0,9.257053802031514,external,[1],0
4,10.0,13.24800722307589,external,[2],0
5,17.0,28.421148930206737,internal,[3],0
6,17.0,17.758055489450133,external,[4],0
7,13.0,14.058283395911044,external,[1],0
8,13.0,18.143601529968883,external,[2],0
9,20.0,16.090042113877207,external,"[5, 7]",0
10,20.0,19.18396201982436,external,"[6, 8]",0
11,10.0,12.311827888961787,external,[],0
12,11.0,16.922661527208525,external,[],0
13,6.0,14.201627405965374,external,"[11, 12]",0
14,22.0,15.628554754637184,external,"[7, 8, 13]",0
15,11.0,10.423629483396702,external,[13],0
16,19.0,18.35421151615496,internal,[15],0
17,12.0,18.11064607507731,external,[14],0
18,3.0,7.028640610016589,external,[15],0
19,7.0,9.04569424459875,internal,"[16, 18]",0
20,4.0,9.152303554278568,internal,[19],0
21,55.0,35.19743425490334,internal,[20],0
22,14.0,17.130434696931317,external,[21],0
23,27.0,18.98556614743525,external,[15],0
24,29.0,17.77891487250212,external,[15],0
25,26.0,26.21674681071415,external,[14],0
26,6.0,25.184042301519305,internal,"[17, 25]",0
27,5.0,14.237189104754183,internal,[17],0
28,24.0,22.15081707631046,internal,"[22, 27]",0
29,4.0,14.20315523957924,external,[14],0
30,5.0,10.215418538157204,external,[14],0
31,7.0,12.033495471423297,external,[14],0
32,4.0,8.67127286820211,external,[14],0
33,15.0,13.767204723667994,internal,"[19, 23, 24, 27]",0
34,3.0,7.22110191477935,internal,[33],0
35,7.0,10.46334753882617,internal,[33],0
36,9.0,10.624223245366437,internal,[33],0
37,4.0,15.247690370037967,external,[12],0
38,7.0,13.708567874371418,internal,"[26, 28, 34, 36]",0
39,5.0,16.30455589184855,external,[],0
40,4.0,14.863801009318736,internal,"[35, 38]",0
41,21.0,20.725376766514145,internal,"[9, 10, 29, 30, 31, 32, 39, 40]",0
42,12.0,15.766399916005854,internal,[41],0
43,6.0,11.889556027411933,external,[37],0
44,5.0,12.194393810878255,internal,[42],0
45,5.0,24.007039765610077,internal,[42],0
