task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,28.0,28.214577327211302,external,[],0
2,17.0,25.788676310783405,external,[1],0
3,7.0,19.76662713521013,external,[2],0
4,10.0,24.245366538269256,external,[3],0
5,12.0,15.42891729070141,external,[4],0
6,16.0,16.704453510047298,external,[4],0
7,13.0,25.373694772870916,external,[4],0
8,8.0,17.069097686473157,external,[4],0
9,13.0,23.56974683913247,internal,[4],0
10,24.0,19.107368813212787,external,[5],0
11,16.0,24.403242338842162,external,[6],0
12,24.0,22.294432440061446,external,"[7, 11]",0
13,12.0,24.85920789195996,internal,[12],0
14,20.0,25.538738238594863,external,"[10, 13]",0
15,22.0,19.88759900964873,internal,[14],0
16,22.0,23.128407268546894,external,[14],0
17,22.0,24.153527602734453,external,[15],0
18,47.0,35.67316915366061,external,"[8, 9, 17]",0
19,6.0,21.347918017104327,external,[18],0
20,12.0,23.04210587622209,external,[18],0
21,6.0,12.231644540581293,external,[20],0
22,22.0,34.658824628340454,external,[19],0
23,7.0,11.944569042050636,external,[22],0
24,14.0,21.87814835360133,external,[23],0
25,68.0,61.51911173902259,external,[24],0
26,15.0,14.852749947865396,external,[25],0
27,8.0,15.96033513879128,external,[25],0
28,74.0,37.323526658087744,external,[20],0
29,32.0,44.38562301882031,external,"[25, 28]",0
30,11.0,23.363178764428504,external,[],0
31,18.0,15.98038318045812,external,[29],0
32,15.0,21.668467043053287,external,[31],0
33,42.0,31.650462927526505,external,"[27, 32]",0
34,27.0,24.227273719885204,external,[33],0
35,38.0,28.399933809053806,external,[34],0
36,38.0,33.32393300487456,internal,[35],0
37,26.0,42.13089925478826,external,"[26, 35]",0
38,35.0,29.452660488529325,external,"[36, 37]",0
39,31.0,29.64427685471675,external,[38],0
40,8.0,35.52532491005202,internal,[39],0
41,14.0,20.504211119652947,internal,[39],0
42,8.0,10.528496623283651,internal,[39],0
43,8.0,16.098197316972314,internal,[39],0
44,8.0,12.34005174519962,internal,[40],0
45,17.0,26.05740472682329,internal,[43],0
46,7.0,49.625778117999566,internal,[45],0
47,19.0,51.98203825127934,internal,[46],0
48,12.0,24.658687980912756,internal,[47],0
49,24.0,29.465557721110397,internal,[47],0
50,26.0,18.209420558681547,internal,[49],0
51,22.0,23.844989890584984,internal,[50],0
52,14.0,17.989765850753223,internal,"[44, 51]",0
53,27.0,19.628202299374458,internal,"[41, 42, 52]",0
54,60.0,31.767022905817505,external,"[16, 21, 30]",0
55,4.0,19.821271210494643,external,[54],0
56,2.0,14.440242622053907,external,[55],0
57,1.0,20.24865208929989,external,[56],0
58,9.0,15.337827561163566,external,[57],0
59,5.0,11.719692092286154,external,[57],0
60,6.0,21.885434029901333,external,[57],0
61,7.0,12.461125855389131,external,[57],0
62,12.0,16.6622578675654,external,[57],0
63,2.0,10.818477171215232,external,[57],0
64,11.0,23.670693626629735,external,[57],0
65,14.0,21.71340743240372,external,[57],0
66,6.0,21.50667498250789,external,[57],0
67,21.0,30.80529741367065,external,"[58, 59, 60, 61, 62, 63, 64, 65, 66]",0
68,14.0,22.535256492172895,internal,[53],0
69,1.0,11.679361755016867,internal,[53],0
70,6.0,16.178579891113237,internal,[53],0
71,21.0,21.183317596406383,internal,[53],0
72,11.0,41.474627514590956,internal,"[68, 69, 70]",0
73,14.0,27.684004737578256,internal,"[67, 71]",0
74,28.0,39.85797584046366,internal,[73],0
75,12.0,13.441904872263715,internal,[74],0
76,11.0,16.75059640867311,internal,[74],0
77,30.0,34.26640138804346,internal,[75],0
78,22.0,20.601710409150428,internal,"[72, 77]",0
79,14.0,19.97367872576575,internal,[78],0
80,31.0,25.320524083723114,internal,[72],0
81,18.0,24.898858504337717,external,"[76, 79, 80]",0
82,16.0,20.31864234824106,internal,[81],0
83,7.0,9.848616311316968,internal,[82],0
84,38.0,26.6115238957317,internal,[81],0
85,8.0,11.308357634765553,external,[81],0
86,31.0,53.34150108841091,external,"[83, 84, 85]",0
87,29.0,28.67132236631783,internal,"[80, 86]",0
88,12.0,22.191604726137353,internal,[87],0
89,18.0,26.50435616297292,internal,"[86, 87]",0
