task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,158.0,107.59122387679,external,[],0
2,42.0,45.12836389075112,external,[1],0
3,17.0,27.625681201164543,external,[1],0
4,24.0,105.56059088263993,internal,[1],0
5,71.0,47.11760606790841,external,[1],0
6,66.0,71.92467269330444,external,[1],0
7,50.0,104.43502978542064,external,[1],0
8,55.0,84.40664301868344,external,[1],0
9,30.0,38.81302149869137,external,[1],0
10,28.0,43.615526101852545,external,[1],0
11,113.0,72.19268921512784,external,"[2, 4, 5, 6, 9]",0
12,114.0,78.04595241806439,external,[3],0
13,57.0,57.92794621788015,external,"[5, 6]",0
14,65.0,52.53826844032122,external,[11],0
15,15.0,28.839083320244292,external,[6],0
16,11.0,41.7452084995336,external,"[4, 5]",0
17,10.0,50.389788778121456,external,[2],0
18,19.0,59.100684712951775,external,[5],0
19,8.0,54.62434838679981,external,"[6, 10]",0
20,17.0,29.29927289010136,external,[12],0
21,57.0,46.275996598054405,external,[14],0
22,40.0,53.98895952744836,external,[14],0
23,17.0,110.1851411368831,external,[14],0
24,11.0,94.15712382782365,external,[14],0
25,17.0,99.58266980799296,external,[14],0
26,27.0,37.379786023387496,external,[14],0
27,17.0,28.478408046445264,external,[14],0
28,18.0,56.071183782287264,external,[14],0
29,16.0,35.24717418426251,internal,"[8, 14]",0
30,18.0,49.880811946040836,external,[14],0
31,50.0,77.48559903015027,external,[14],0
32,18.0,40.67546591929825,external,[14],0
33,13.0,39.62238073770123,external,"[25, 28]",0
34,21.0,58.43838234430564,external,[23],0
35,63.0,75.92004657780443,external,"[23, 28]",0
36,8.0,33.16491281841707,external,"[30, 32]",0
37,63.0,57.30223582412781,external,"[10, 24]",0
38,9.0,52.59896745580965,external,[22],0
39,20.0,72.98555237329553,external,[21],0
40,72.0,69.2266283058536,external,"[21, 28]",0
41,30.0,111.18764615221724,external,"[21, 26]",0
42,69.0,71.34785228202682,external,"[7, 30]",0
43,27.0,33.10187996899135,external,"[26, 28]",0
44,9.0,34.026713692947496,external,"[24, 32]",0
45,41.0,68.58321709556714,internal,[32],0
46,38.0,41.639350789393305,external,[32],0
47,76.0,54.821409543587336,external,[32],0
48,31.0,51.88832458529836,internal,"[10, 32]",0
49,11.0,34.02217001625204,external,"[22, 28]",0
50,29.0,56.16589694362197,external,"[10, 32]",0
51,48.0,57.30660058473432,internal,[28],0
52,8.0,39.010105732185856,internal,"[12, 28]",0
53,171.0,155.84641970941266,external,[21],0
54,48.0,61.1889861786899,internal,"[27, 28]",0
55,43.0,86.44522211498392,internal,[27],0
56,18.0,29.15474778223186,internal,"[25, 27]",0
57,94.0,72.90892560873215,external,[25],0
58,9.0,51.582334615636924,internal,"[22, 27]",0
59,19.0,46.57978977367534,external,[30],0
60,24.0,56.63952149226329,external,"[21, 25, 32]",0
61,8.0,21.996473395099997,internal,"[12, 37]",0
62,34.0,38.69802232179957,internal,"[27, 37]",0
63,62.0,65.03976784051154,external,[25],0
64,12.0,28.911119994790223,internal,[37],0
65,8.0,45.38027916984788,external,[25],0
66,47.0,39.59910141082655,internal,[37],0
67,27.0,55.097834821625725,internal,[37],0
68,18.0,34.96253642424786,internal,[37],0
69,52.0,63.13469283516123,internal,"[32, 37]",0
70,65.0,54.299240910692006,internal,[37],0
71,72.0,47.70486670279472,internal,"[21, 37]",0
72,51.0,62.83357582898047,external,"[22, 37]",0
73,58.0,73.96842662528198,external,"[25, 37]",0
74,53.0,55.24619862875438,internal,"[31, 42, 64, 65, 67]",0
75,76.0,63.202149290100934,internal,"[16, 18, 19, 29, 44, 45, 46, 47, 48, 50, 66, 69]",0
76,93.0,73.00078861871653,internal,"[46, 53, 57, 66, 70, 71, 72]",0
77,86.0,72.87971927505428,internal,"[53, 55, 56, 57, 58, 60, 61, 62, 63, 69, 70, 73]",0
78,76.0,129.12917511551223,internal,"[20, 33, 34, 35, 40, 41, 43, 49, 51, 52, 54, 77]",0
79,9.0,27.451893501860955,internal,[78],0
80,14.0,33.192994879159855,internal,[78],0
81,55.0,66.29312909440016,internal,"[15, 79, 80]",0
82,32.0,90.72622028027376,internal,"[13, 17, 36, 38, 39, 59, 68, 74, 75, 76, 81]",0
83,22.0,64.59151613185239,internal,[82],0
84,35.0,66.07036955574259,internal,[83],0
85,63.0,49.661992741469334,external,[83],0
86,59.0,58.569784460713585,internal,"[84, 85]",0
87,149.0,90.3207376915348,internal,[86],0
88,40.0,38.375814117876914,internal,[87],0
89,24.0,51.289164985046085,internal,[88],0
90,123.0,79.66972317285737,internal,[88],0
91,25.0,29.942620532013834,internal,[90],0
92,115.0,65.94255807190716,internal,[89],0
93,103.0,68.81356156875586,external,[90],0
94,54.0,41.446552764455134,internal,[92],0
