task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,17.0,28.249364857808512,external,[],0
2,66.0,60.16544930430433,external,[1],0
3,54.0,47.52578541760228,external,[2],0
4,52.0,42.5130785414421,internal,[3],0
5,6.0,46.29485615922155,external,[],0
6,88.0,81.8769709689167,external,"[4, 5]",0
7,21.0,63.67647635384542,internal,[4],0
8,128.0,106.6601077165981,external,"[6, 7]",0
9,68.0,77.0836557373531,external,[],0
10,70.0,82.54723326208645,external,[9],0
11,85.0,91.09751731466574,external,[10],0
12,21.0,33.15270886044592,external,"[8, 11]",0
13,134.0,96.00448286770262,external,[12],0
14,135.0,76.96607809040536,external,[12],0
15,94.0,59.81289574734646,external,[],0
16,90.0,93.26548494630251,internal,[15],0
17,50.0,66.64016055508652,external,[16],0
18,143.0,164.61137030948677,external,[16],0
19,19.0,74.45809836759736,external,"[17, 18]",0
20,54.0,76.95574795058451,external,[19],0
21,50.0,58.19441917010533,external,[20],0
22,40.0,63.843032906510985,external,[19],0
23,73.0,123.16895305735999,external,"[13, 14, 21, 22]",0
24,12.0,59.77748034034306,external,[5],0
25,152.0,107.02261366092546,external,"[23, 24]",0
26,42.0,51.00901542510661,external,[25],0
27,45.0,40.88550325203157,external,[25],0
28,74.0,84.75465185029243,external,[25],0
29,26.0,65.20582091343245,external,[25],0
30,11.0,48.67614740979127,external,[5],0
31,31.0,67.57856334620203,external,"[23, 30]",0
32,50.0,63.47476945995072,external,[31],0
33,102.0,87.07456496848823,external,[23],0
34,46.0,112.80395386785216,external,[33],0
35,35.0,72.63143228917176,external,"[26, 27, 28, 29, 32, 34]",0
36,40.0,47.99584896094126,internal,[35],0
37,2.0,51.33500033017379,external,[36],0
38,1.0,106.68560601352786,internal,[37],0
39,3.0,46.54639915908079,internal,[38],0
40,13.0,49.42612024892283,internal,[39],0
41,16.0,79.43239282711943,external,[1],0
42,25.0,33.1101790759051,internal,"[40, 41]",0
43,21.0,32.76653362610236,internal,[42],0
44,43.0,47.43404206151816,internal,[35],0
45,30.0,43.66764912644465,internal,[44],0
46,83.0,74.14687461998463,internal,[45],0
47,89.0,98.9606891942478,internal,[46],0
48,56.0,54.97122060095593,external,[35],0
49,59.0,76.73724247435665,internal,[48],0
50,43.0,73.87872585354356,internal,"[43, 47, 49]",0
51,11.0,34.09688900967343,internal,[35],0
52,26.0,31.09791414799045,internal,[51],0
53,44.0,40.76808597227096,internal,[35],0
54,121.0,113.21109763780629,internal,"[52, 53]",0
55,38.0,106.29608724841546,internal,[54],0
56,68.0,59.507682287648244,internal,[35],0
57,22.0,35.332688274355405,external,[19],0
58,7.0,140.33394833331565,external,[57],0
59,16.0,48.571722056600095,external,[58],0
60,32.0,59.40798919035882,external,"[35, 59]",0
61,25.0,60.84089658253989,internal,[35],0
62,27.0,50.60636073955732,internal,[35],0
63,156.0,85.71533546010663,internal,[62],0
64,28.0,31.755372727620347,internal,[63],0
65,15.0,28.890532514225796,internal,"[61, 64]",0
66,26.0,54.26544424341341,internal,[64],0
67,18.0,75.79663312424098,internal,[64],0
68,72.0,61.648877822400536,external,[3],0
69,23.0,50.7655542350069,external,[1],0
70,27.0,48.81987546859493,external,[1],0
