task_id,execution_time,ergonomic_value,area,predecessors,previous_station
1,10.0,24.528502118755682,external,[],0
2,53.0,31.957849144292563,external,[],0
3,41.0,43.488251205671055,external,[],0
4,36.0,21.87846841852459,external,[],0
5,35.0,22.13399494123457,external,[],0
6,17.0,27.248769170066527,external,[],0
7,34.0,29.491006908539212,external,[],0
8,23.0,17.225952987715072,external,[],0
9,14.0,21.111459872843966,external,[1],0
10,52.0,28.09295308618005,external,[4],0
11,33.0,30.386634950477436,external,[9],0
12,34.0,29.315514210023903,external,[],0
13,12.0,17.70052887969853,external,[11],0
14,52.0,35.12322828866047,external,[11],0
15,12.0,25.35178966340445,external,[11],0
16,33.0,20.68842905741996,external,[],0
17,44.0,29.933922484924683,external,"[12, 13, 14, 15]",0
18,7.0,17.382151861002644,external,[16],0
19,15.0,17.275849235490483,external,[18],0
20,13.0,17.15610643854804,external,[17],0
21,29.0,30.34482434750938,internal,"[3, 20]",0
22,37.0,31.47725636088126,external,[3],0
23,43.0,32.70656669617277,external,"[6, 19]",0
24,23.0,29.73133189557344,external,[6],0
25,24.0,17.26661840028627,external,"[2, 20]",0
26,9.0,17.76694272132823,external,[21],0
27,16.0,21.49350346974139,external,[22],0
28,12.0,21.56342878255462,external,[],0
29,26.0,22.041957527918775,internal,[26],0
30,22.0,24.242853590041648,external,[27],0
31,51.0,31.99408076504123,internal,"[23, 24, 29]",0
32,47.0,35.79258105744805,external,[28],0
33,34.0,22.637475266802507,external,[28],0
34,23.0,55.87875526647955,external,[30],0
35,12.0,14.237758597870096,external,[33],0
36,52.0,52.572927490321305,internal,"[5, 31, 34]",0
37,12.0,18.38964205711273,internal,[36],0
38,33.0,24.396235787769328,internal,"[25, 36]",0
39,44.0,37.84217668887975,internal,[37],0
40,7.0,12.799882027687865,internal,[37],0
41,15.0,20.92811797389765,internal,[37],0
42,13.0,18.566880200539746,internal,[41],0
43,29.0,20.683529926449435,external,"[7, 35, 39, 40, 42]",0
44,37.0,61.80053343130196,external,"[8, 21]",0
45,43.0,49.89739645383375,internal,"[32, 43, 44]",0
46,23.0,26.162867721679156,external,[45],0
47,24.0,17.695043198302862,internal,[46],0
48,9.0,18.16445318106159,internal,[45],0
49,16.0,26.01033418598798,internal,[45],0
50,12.0,19.257364797782657,internal,[46],0
51,26.0,41.30635222828852,internal,[47],0
52,12.0,13.822196958537077,internal,"[38, 51]",0
53,52.0,28.689468595225495,internal,[52],0
54,12.0,15.218314578703353,internal,[53],0
55,33.0,56.23933024820805,external,"[48, 54]",0
56,44.0,36.965229201177586,internal,[54],0
57,7.0,19.293909626037074,internal,"[55, 56]",0
58,15.0,15.309859737187105,internal,"[49, 50, 57]",0
