task_id,station,execution_time,ergonomic_value,area_binary
1,0,17.0,28.249364857808512,0
2,1,66.0,60.16544930430433,0
3,1,54.0,47.52578541760228,0
4,1,52.0,42.5130785414421,1
5,1,6.0,46.29485615922155,0
6,1,88.0,81.8769709689167,0
7,1,21.0,63.67647635384542,1
8,1,128.0,106.6601077165981,0
9,0,68.0,77.0836557373531,0
10,0,70.0,82.54723326208645,0
11,1,85.0,91.09751731466574,0
12,2,21.0,33.15270886044592,0
13,2,134.0,96.00448286770262,0
14,2,135.0,76.96607809040536,0
15,0,94.0,59.81289574734646,0
16,0,90.0,93.26548494630252,1
17,0,50.0,66.64016055508652,0
18,0,143.0,164.61137030948677,0
19,0,19.0,74.45809836759736,0
20,2,54.0,76.95574795058451,0
21,2,50.0,58.19441917010533,0
22,1,40.0,63.843032906510985,0
23,2,73.0,123.16895305736,0
24,3,12.0,59.77748034034306,0
25,3,152.0,107.02261366092546,0
26,3,42.0,51.00901542510661,0
27,3,45.0,40.88550325203157,0
28,3,74.0,84.75465185029243,0
29,3,26.0,65.20582091343245,0
30,1,11.0,48.67614740979127,0
31,2,31.0,67.57856334620203,0
32,2,50.0,63.47476945995072,0
33,3,102.0,87.07456496848823,0
34,3,46.0,112.80395386785216,0
35,3,35.0,72.63143228917176,0
36,3,40.0,47.99584896094126,1
37,4,2.0,51.33500033017379,0
38,4,1.0,106.68560601352786,1
39,4,3.0,46.54639915908079,1
40,4,13.0,49.42612024892283,1
41,4,16.0,79.43239282711943,0
42,4,25.0,33.1101790759051,1
43,4,21.0,32.76653362610236,1
44,3,43.0,47.43404206151816,1
45,3,30.0,43.66764912644465,1
46,3,83.0,74.14687461998463,1
47,4,89.0,98.9606891942478,1
48,4,56.0,54.97122060095593,0
49,4,59.0,76.73724247435665,1
50,4,43.0,73.87872585354356,1
51,3,11.0,34.09688900967343,1
52,4,26.0,31.09791414799045,1
53,3,44.0,40.76808597227096,1
54,4,121.0,113.21109763780628,1
55,4,38.0,106.29608724841546,1
56,4,68.0,59.50768228764824,1
57,4,22.0,35.332688274355405,0
58,4,7.0,140.33394833331565,0
59,4,16.0,48.571722056600095,0
60,4,32.0,59.40798919035882,0
61,3,25.0,60.84089658253989,1
62,3,27.0,50.60636073955732,1
63,3,156.0,85.71533546010663,1
64,3,28.0,31.755372727620347,1
65,3,15.0,28.890532514225796,1
66,3,26.0,54.26544424341341,1
67,3,18.0,75.79663312424098,1
68,4,72.0,61.648877822400536,0
69,4,23.0,50.7655542350069,0
70,4,27.0,48.81987546859493,0
