instance,stations,CT_reb,min_workers,runtime,nodecount,solcount,mipgap,objval,MSF,eff_givenCT,Tavg,fairT,MAD_T,MADpct_T,Eavg,fairE,MAD_E,MADpct_E,status,input_file,output_results,output_assignment
BOWMAN8,3,25.0,4,0.0005910396575927734,0,1,0.0,0.15934327343654472,1.0,0.7499999999925,18.75,19.0,4.7499999988125,25.33333332564889,15.715658840601515,18.10631356803134,4.52657839087619,28.8029820225781,OK,BOWMAN8_run1_S3_W3_CT28.csv,BOWMAN8_run1_S3_W4_results.csv,BOWMAN8_run1_S3_W4_assignment.csv
JACKSON,4,8.0,7,0.0006999969482421875,0,1,0.0,0.31959620243379516,0.5,0.8214285714139031,6.571428571428571,9.428571428571429,1.3469387753177844,20.49689440389067,5.492625649144137,11.166226846477098,1.5951752635545604,29.04212602788067,OK,JACKSON_run1_S4_W6_CT9.csv,JACKSON_run1_S4_W7_results.csv,JACKSON_run1_S4_W7_assignment.csv
JAESCHKE,3,10.0,5,0.0008170604705810547,0,1,0.0,0.08857358445962335,1.0,0.7399999999852,7.4,5.6,1.119999999776,15.13513513006282,5.497995968175945,4.225780411725279,0.8451560821760246,15.372075332799835,OK,JAESCHKE_run1_S3_W5_CT9.csv,JAESCHKE_run1_S3_W5_results.csv,JAESCHKE_run1_S3_W5_assignment.csv
JAESCHKE,5,10.0,5,0.009907007217407227,1,5,0.0,0.08857358445962356,1.0,0.7399999999852,7.4,5.6,1.119999999776,15.13513513006282,5.497995968175945,4.225780411725298,0.8451560821760283,15.3720753327999,OK,JAESCHKE_run3_S5_W5_CT9.csv,JAESCHKE_run3_S5_W5_results.csv,JAESCHKE_run3_S5_W5_assignment.csv
HAHN,4,2902.0,5,0.005293846130371094,1,5,0.0,0.06878066427415808,0.9999999999999993,0.9666436940040685,2805.2,334.8,66.959999986608,2.3869955791595654,5566.422216860765,5100.742308250454,1020.148461446061,18.326825053906884,OK,HAHN_run1_S4_W6_CT2872.csv,HAHN_run1_S4_W5_results.csv,HAHN_run1_S4_W5_assignment.csv
JACKSON,6,8.0,7,0.06737995147705078,92,3,0.0,0.12540252158597123,1.0,0.8214285714139031,6.571428571428571,9.428571428571429,1.3469387753177844,20.49689440389067,5.492625649144137,7.991119579543157,1.141588511200224,20.78402177600191,OK,JACKSON_run3_S6_W6_CT9.csv,JACKSON_run3_S6_W7_results.csv,JACKSON_run3_S6_W7_assignment.csv
MANSOOR,3,45.0,5,0.0009601116180419922,0,1,0.0,0.2713066807798369,0.5,0.8222222222185679,37.0,40.0,7.9999999984,21.621621616712932,61.28099475673896,41.71466700426883,8.34293339918518,13.614226453351723,OK,MANSOOR_run1_S3_W3_CT62.csv,MANSOOR_run1_S3_W5_results.csv,MANSOOR_run1_S3_W5_assignment.csv
MERTENS,4,7.0,5,0.0035810470581054688,1,1,0.0,0.1378409923782491,1.0,0.8285714285477552,5.8,3.2,0.6399999998720001,11.034482754511297,4.432656917707574,7.138669978421942,1.4277339953988415,32.209440558623804,OK,MERTENS_run1_S4_W6_CT6.csv,MERTENS_run1_S4_W5_results.csv,MERTENS_run1_S4_W5_assignment.csv
MITCHELL,5,18.0,6,0.003919839859008789,1,3,0.0,0.05181920331592102,0.9999999999999998,0.9722222222132201,17.5,3.0,0.49999999991666666,2.8571428565034016,18.900781421366272,14.479491598726575,2.4132485993855544,12.767983214333311,OK,MITCHELL_run3_S5_W6_CT20.csv,MITCHELL_run3_S5_W6_results.csv,MITCHELL_run3_S5_W6_assignment.csv
GUNTHER,9,54.0,9,0.2755458354949951,145,5,0.0,0.1154589450538692,0.8181818181818181,0.9938271604917823,53.666666666666664,3.9999988914729876,0.4444443212253937,0.8281571202803332,73.61034583116847,103.56635774063348,11.507373081014011,15.632820293020782,OK,GUNTHER_run1_S9_W10_CT50.csv,GUNTHER_run1_S9_W9_results.csv,GUNTHER_run1_S9_W9_assignment.csv
LUTZ1,10,1572.0,10,0.273967981338501,410,8,0.0,0.12549330124925767,0.8,0.8994910941475255,1414.0,724.0,72.39999999276,5.120226307829477,1353.5436500994715,1765.3447429205144,176.53447427439798,13.042392409088107,OK,LUTZ1_run3_S10_W11_CT1414.csv,LUTZ1_run3_S10_W10_results.csv,LUTZ1_run3_S10_W10_assignment.csv
BUXEY,9,29.0,12,0.380889892578125,240,3,0.0,0.17201938367624658,0.7777777777777779,0.9310344827559454,27.0,18.0,1.499999999875,5.555555554886831,29.011674058176,84.28882035054326,7.024068361959933,24.211179084780582,OK,BUXEY_run1_S9_W11_CT33.csv,BUXEY_run1_S9_W12_results.csv,BUXEY_run1_S9_W12_assignment.csv
ROSZIEG,8,14.0,10,0.10573410987854004,7,6,0.0,0.16605076595475002,0.75,0.8928571428507653,12.5,14.0,1.39999999986,11.199999997983998,12.29968770174744,18.222269960501414,1.8222269958679187,14.815229783930848,OK,ROSZIEG_run3_S8_W8_CT16.csv,ROSZIEG_run3_S8_W10_results.csv,ROSZIEG_run3_S8_W10_assignment.csv
TONGE70,5,552.0,7,0.21027302742004395,1,5,1.1010289022817109e-08,0.09843600975109457,0.9047619047619035,0.9083850931674667,501.42857142857144,456.8571428571422,65.26530611312528,13.015873013987632,672.9259937850472,385.4855119063043,55.069358835890704,8.183568378159528,OK,TONGE70_run1_S5_W8_CT527.csv,TONGE70_run1_S5_W7_results.csv,TONGE70_run1_S5_W7_assignment.csv
SAWYER30,9,27.0,13,0.8805651664733887,423,4,0.0,0.15620513483341938,0.7777777777777779,0.9230769230742932,24.923076923076923,23.230769230767677,1.7869822483831304,7.169990502484134,28.08323673455671,65.79094999755988,5.06084230711531,18.0208654535454,OK,SAWYER30_run1_S9_W14_CT25.csv,SAWYER30_run1_S9_W13_results.csv,SAWYER30_run1_S9_W13_assignment.csv
TONGE70,7,552.0,7,0.8816518783569336,317,10,0.0,0.01108350649172618,0.9999999999999998,0.9083850931674667,501.42857142857144,86.57142857142766,12.367346937008616,2.4664224660651755,672.9259937850472,51.0894419507674,7.298491706209844,1.0845905454100135,OK,TONGE70_run3_S7_W7_CT527.csv,TONGE70_run3_S7_W7_results.csv,TONGE70_run3_S7_W7_assignment.csv
KILBRID,7,56.0,10,2.133392095565796,789,10,0.0,0.12397730793713091,0.857142857142858,0.9857142857125255,55.2,8.0,0.79999999992,1.449275362147658,69.56849703782294,149.4255254831005,14.942552546815795,21.478906664430387,OK,KILBRID_run1_S7_W9_CT62.csv,KILBRID_run1_S7_W10_results.csv,KILBRID_run1_S7_W10_assignment.csv
HESKIA,6,138.0,8,2.1950290203094482,3063,10,0.0,0.0902474514922805,0.7777777777777779,0.9275362318832178,128.0,20.0,2.4999999996875,1.9531249997406008,196.38581857772252,47.76761428528713,5.970951784914522,3.040419022171414,OK,HESKIA_run1_S6_W6_CT205.csv,HESKIA_run1_S6_W8_results.csv,HESKIA_run1_S6_W8_assignment.csv
KILBRID,9,56.0,10,3.141545057296753,1054,10,0.0,0.089105657540341,0.8571428571428569,0.9857142857125255,55.2,4.800000000000001,0.47999999995200004,0.8695652172885949,69.56849703782294,80.62181895087758,8.06218189428154,11.588840117937881,OK,KILBRID_run3_S9_W9_CT62.csv,KILBRID_run3_S9_W10_results.csv,KILBRID_run3_S9_W10_assignment.csv
MUKHERJE,23,192.0,23,5.745830059051514,1135,10,0.0,0.10961616671221452,0.9310344827586202,0.9528985507244218,182.95652173913044,205.56521739129892,8.937618147059187,4.88510497578987,241.32516285156137,1184.0996626729668,51.48259402702105,21.333288836719674,OK,MUKHERJE_run3_S23_W25_CT176.csv,MUKHERJE_run3_S23_W23_results.csv,MUKHERJE_run3_S23_W23_assignment.csv
LUTZ3,19,83.0,21,12.359369039535522,2490,10,0.0,0.09442653523241439,0.9259259259259254,0.9432013769357755,78.28571428571429,90.57142857142858,4.31292516986265,5.509210983330822,102.76913347152549,339.3533527008803,16.15968346117717,15.724257775801265,OK,LUTZ3_run1_S19_W24_CT75.csv,LUTZ3_run1_S19_W21_results.csv,LUTZ3_run1_S19_W21_assignment.csv
LUTZ3,21,83.0,21,24.32395601272583,45602,10,7.552289324762121e-05,0.1016407818164411,0.8271604938271602,0.9432013769357755,78.28571428571429,39.42857142857157,1.8775510203187629,2.3983315952670536,102.76913347152549,236.23505723837246,11.249288439386818,10.946174263884618,OK,LUTZ3_run2_S21_W23_CT75.csv,LUTZ3_run2_S21_W21_results.csv,LUTZ3_run2_S21_W21_assignment.csv
ARC83,15,3985.0,20,76.60209512710571,29959,8,0.0,0.16175614193128496,0.7866666666666666,0.9498996235884447,3785.35,2622.3,131.11499999344426,3.46374839825669,4527.702115736179,21645.400725715575,1082.2700362316652,23.903295944977494,OK,ARC83_run1_S15_W22_CT3786.csv,ARC83_run1_S15_W20_results.csv,ARC83_run1_S15_W20_assignment.csv
SAWYER30,13,27.0,13,90.53305792808533,141188,10,9.622788276718053e-05,0.12049608617152846,0.7777777777777777,0.9230769230742932,24.923076923076923,21.384615384615415,1.6449704140746495,6.600189932750747,28.08323673455671,28.600970294264407,2.2000746378511025,7.834120612833587,OK,SAWYER30_run3_S13_W14_CT25.csv,SAWYER30_run3_S13_W13_results.csv,SAWYER30_run3_S13_W13_assignment.csv
WARNECKE,14,86.0,19,188.8375370502472,119554,10,9.471265453871732e-05,0.04489602692948022,1.0000000000000002,0.9473684210520518,81.47368421052632,70.63157894736852,3.7174515233500562,4.562763497595875,82.56101810342604,143.47256449444515,7.551187604573366,9.146190027625824,OK,WARNECKE_run1_S14_W21_CT78.csv,WARNECKE_run1_S14_W19_results.csv,WARNECKE_run1_S14_W19_assignment.csv
LUTZ2,40,13.0,40,5400.003413200378,728457,10,0.08059065330343342,0.10053132527278663,0.9259259259259258,0.932692307690514,12.125,36.74999696551646,0.9187499241149428,7.57731896114779,12.084271718607258,75.81518879456638,1.8953797198167752,15.684683064031395,OK,LUTZ2_run1_S40_W45_CT12.csv,LUTZ2_run1_S40_W40_results.csv,LUTZ2_run1_S40_W40_assignment.csv
ARC83,20,3985.0,20,5400.000791788101,1561785,10,0.03402746787091872,0.08004745426114596,1.0000000000000004,0.9498996235884447,3785.35,2024.9000000000005,101.24499999493777,2.674653598608082,4527.702115736179,19445.198189417224,972.2599094222483,21.47358383059062,OK,ARC83_run3_S20_W21_CT3786.csv,ARC83_run3_S20_W20_results.csv,ARC83_run3_S20_W20_assignment.csv
MUKHERJE,18,192.0,23,5400.00116109848,2962504,10,0.006711847743967993,0.08662766096508934,0.9999999999999998,0.9528985507244218,182.95652173913044,205.56521739129832,8.93761814705916,4.885104975789855,241.32516285156137,1184.0996626729884,51.48259402702199,21.333288836720065,OK,MUKHERJE_run1_S18_W25_CT176.csv,MUKHERJE_run1_S18_W23_results.csv,MUKHERJE_run1_S18_W23_assignment.csv
WARNECKE,19,86.0,19,5400.017909049988,2558591,10,0.09218963604752267,0.10086551688300888,0.7777777777777778,0.9473684210520518,81.47368421052632,60.52631410822164,3.1855954792124233,3.9099686113884458,82.56101810342604,67.97396322237299,3.577577011515548,4.333252052428065,OK,WARNECKE_run3_S19_W21_CT78.csv,WARNECKE_run3_S19_W19_results.csv,WARNECKE_run3_S19_W19_assignment.csv
WEE-MAG,32,50.0,32,5400.001111030579,317301,10,0.5292584508721903,0.03528833106279268,0.9999999999999998,0.9368749999994145,46.84375,42.5625,1.3300781249584352,2.839392928469735,37.20853341878336,94.37683230908883,2.9492760095668613,7.926343068385395,OK,WEE-MAG_run3_S32_W32_CT56.csv,WEE-MAG_run3_S32_W32_results.csv,WEE-MAG_run3_S32_W32_assignment.csv
LUTZ2,37,13.0,41,5400.001116037369,559083,10,0.11053107137518252,0.0726961185131193,0.9999999999999996,0.9099437148200564,11.829268292682928,34.9268285301331,0.8518738665678348,7.201407943572917,11.78953338400708,73.74286473001624,1.798606456785796,15.255959655478051,OK,LUTZ2_run1_S37_W46_CT12.csv,LUTZ2_run1_S37_W41_results.csv,LUTZ2_run1_S37_W41_assignment.csv
WEE-MAG,22,50.0,32,5400.000834941864,443284,10,0.46983223696652293,0.06522414896218132,0.9130434782608692,0.9368749999994145,46.84375,60.875,1.902343749940552,4.061040693582264,37.20853341878336,84.14373485077792,2.6294917140046388,7.066905014338908,OK,WEE-MAG_run1_S22_W30_CT56.csv,WEE-MAG_run1_S22_W32_results.csv,WEE-MAG_run1_S22_W32_assignment.csv
