task_id,station,execution_time,ergonomic_value,area_binary
1,0,29.0,35.25593305047174,0
2,3,3.0,9.260238819081554,0
3,3,5.0,17.769184666171082,0
4,3,22.0,47.05308394827797,0
5,0,6.0,13.707236493403109,0
6,0,14.0,21.988656744654275,0
7,1,2.0,17.162135678419343,0
8,0,5.0,10.590681007810034,0
9,1,22.0,18.20452953441441,0
10,1,30.0,24.709914057301084,0
11,4,23.0,25.03401186292922,1
12,2,30.0,25.18918798472363,0
13,3,23.0,20.95372637020312,1
14,2,2.0,11.748812655796716,0
15,5,19.0,23.41094471926218,1
16,5,29.0,22.152093118327755,0
17,4,2.0,12.979524024768908,0
18,2,2.0,13.482197902295074,0
19,2,19.0,19.152216825829964,0
20,4,29.0,28.220196987434058,0
21,5,6.0,10.40862053501047,0
22,6,10.0,15.560219347835288,1
23,6,16.0,35.74534507712879,1
24,6,23.0,22.14054106896861,1
25,6,5.0,16.05794880653267,1
26,7,5.0,9.14092848573608,1
27,7,5.0,12.997414823541371,1
28,7,40.0,23.564445684266925,1
29,7,2.0,10.577734464027335,1
30,8,5.0,8.617875580302066,1
31,8,5.0,11.115196228415344,1
32,8,1.0,8.807048432026889,1
33,8,40.0,43.38883803822111,1
34,7,2.0,8.13364094144108,1
35,8,2.0,8.21280851548696,1
