task_id,station,execution_time,ergonomic_value,area_binary
1,0,9.0,9.009681318745718,0
2,0,9.0,10.54759125777339,0
3,1,10.0,9.257053802031514,0
4,1,10.0,13.24800722307589,0
5,5,17.0,28.421148930206737,1
6,5,17.0,17.758055489450133,0
7,2,13.0,14.058283395911044,0
8,2,13.0,18.143601529968883,0
9,6,20.0,16.090042113877207,0
10,6,20.0,19.18396201982436,0
11,0,10.0,12.311827888961789,0
12,0,11.0,16.922661527208525,0
13,0,6.0,14.201627405965374,0
14,3,22.0,15.628554754637184,0
15,0,11.0,10.423629483396702,0
16,2,19.0,18.35421151615496,1
17,3,12.0,18.11064607507731,0
18,1,3.0,7.028640610016589,0
19,2,7.0,9.04569424459875,1
20,2,4.0,9.152303554278568,1
21,3,55.0,35.19743425490334,1
22,3,14.0,17.130434696931317,0
23,1,27.0,18.98556614743525,0
24,4,29.0,17.77891487250212,0
25,4,26.0,26.21674681071415,0
26,4,6.0,25.184042301519305,1
27,4,5.0,14.237189104754185,1
28,4,24.0,22.15081707631046,1
29,6,4.0,14.20315523957924,0
30,6,5.0,10.215418538157204,0
31,6,7.0,12.033495471423295,0
32,3,4.0,8.67127286820211,0
33,4,15.0,13.767204723667994,1
34,4,3.0,7.22110191477935,1
35,5,7.0,10.46334753882617,1
36,5,9.0,10.624223245366435,1
37,3,4.0,15.247690370037969,0
38,6,7.0,13.708567874371418,1
39,1,5.0,16.30455589184855,0
40,6,4.0,14.863801009318736,1
41,6,21.0,20.725376766514145,1
42,6,12.0,15.766399916005854,1
43,5,6.0,11.889556027411931,0
44,6,5.0,12.194393810878257,1
45,6,5.0,24.00703976561008,1
