task_id,station,execution_time,ergonomic_value,area_binary
1,0,28.0,28.214577327211305,0
2,0,17.0,25.788676310783405,0
3,0,7.0,19.76662713521013,0
4,0,10.0,24.245366538269256,0
5,0,12.0,15.42891729070141,0
6,1,16.0,16.704453510047298,0
7,1,13.0,25.373694772870916,0
8,0,8.0,17.069097686473157,0
9,1,13.0,23.56974683913247,1
10,1,24.0,19.107368813212787,0
11,1,16.0,24.40324233884216,0
12,2,24.0,22.29443244006145,0
13,2,12.0,24.85920789195996,1
14,2,20.0,25.538738238594863,0
15,2,22.0,19.88759900964873,1
16,5,22.0,23.128407268546898,0
17,3,22.0,24.153527602734453,0
18,3,47.0,35.67316915366061,0
19,4,6.0,21.347918017104327,0
20,3,12.0,23.04210587622209,0
21,5,6.0,12.231644540581293,0
22,5,22.0,34.658824628340454,0
23,5,7.0,11.944569042050636,0
24,5,14.0,21.87814835360133,0
25,6,68.0,61.51911173902259,0
26,8,15.0,14.852749947865396,0
27,8,8.0,15.96033513879128,0
28,4,74.0,37.323526658087744,0
29,8,32.0,44.38562301882031,0
30,6,11.0,23.363178764428504,0
31,8,18.0,15.98038318045812,0
32,9,15.0,21.668467043053287,0
33,9,42.0,31.650462927526505,0
34,10,27.0,24.227273719885204,0
35,10,38.0,28.39993380905381,0
36,11,38.0,33.32393300487456,1
37,11,26.0,42.13089925478826,0
38,12,35.0,29.452660488529325,0
39,12,31.0,29.64427685471675,0
40,14,8.0,35.52532491005202,1
41,13,14.0,20.504211119652947,1
42,12,8.0,10.528496623283653,1
43,12,8.0,16.098197316972314,1
44,14,8.0,12.34005174519962,1
45,13,17.0,26.05740472682329,1
46,13,7.0,49.625778117999566,1
47,13,19.0,51.98203825127934,1
48,20,12.0,24.658687980912756,1
49,13,24.0,29.465557721110397,1
50,14,26.0,18.209420558681547,1
51,14,22.0,23.844989890584984,1
52,14,14.0,17.989765850753223,1
53,15,27.0,19.628202299374458,1
54,7,60.0,31.767022905817505,0
55,7,4.0,19.821271210494643,0
56,7,2.0,14.440242622053908,0
57,7,1.0,20.24865208929989,0
58,11,9.0,15.337827561163566,0
59,8,5.0,11.719692092286154,0
60,10,6.0,21.885434029901333,0
61,11,7.0,12.461125855389133,0
62,7,12.0,16.6622578675654,0
63,10,2.0,10.818477171215232,0
64,9,11.0,23.670693626629735,0
65,9,14.0,21.71340743240372,0
66,10,6.0,21.50667498250789,0
67,15,21.0,30.80529741367065,0
68,17,14.0,22.535256492172895,1
69,16,1.0,11.679361755016869,1
70,16,6.0,16.178579891113237,1
71,15,21.0,21.183317596406383,1
72,17,11.0,41.47462751459096,1
73,15,14.0,27.684004737578256,1
74,16,28.0,39.85797584046366,1
75,16,12.0,13.441904872263716,1
76,18,11.0,16.75059640867311,1
77,16,30.0,34.26640138804346,1
78,17,22.0,20.601710409150428,1
79,18,14.0,19.97367872576575,1
80,17,31.0,25.32052408372311,1
81,18,18.0,24.898858504337717,0
82,18,16.0,20.31864234824106,1
83,19,7.0,9.848616311316968,1
84,19,38.0,26.6115238957317,1
85,18,8.0,11.308357634765551,0
86,19,31.0,53.34150108841091,0
87,20,29.0,28.67132236631783,1
88,20,12.0,22.191604726137353,1
89,20,18.0,26.50435616297292,1
