task_id,station,execution_time,ergonomic_value,area_binary
1,0,4.0,5.122481056007814,0
2,2,3.0,3.693449509615264,0
3,0,9.0,6.7032836166367815,0
4,0,5.0,6.053246690033311,0
5,1,9.0,5.160338537995782,0
6,2,4.0,3.406292842064815,0
7,1,8.0,11.52892299197989,0
8,2,7.0,6.959828577193548,0
9,2,5.0,5.50397468036685,1
10,2,1.0,4.721660313236287,0
11,2,3.0,3.1189614021834213,0
12,3,1.0,3.391245240260778,1
13,2,5.0,9.82301044334694,1
14,3,3.0,4.759752297323786,0
15,3,5.0,4.143011420936217,1
16,3,3.0,2.742478265948595,1
17,4,13.0,7.20605763615071,1
18,3,5.0,4.56254949771508,1
19,4,2.0,4.455655843020068,1
20,4,3.0,3.2326120929111326,1
21,2,7.0,7.115875573270522,1
