task_id,station,execution_time,ergonomic_value,area_binary
1,1,8.0,10.9939062792885,0
2,0,7.0,9.102329300089826,0
3,1,19.0,12.552829453670263,0
4,5,10.0,11.054509508172348,0
5,3,2.0,6.272874709789036,0
6,4,6.0,12.63247834965254,0
7,5,14.0,20.51401349009291,0
8,6,10.0,7.723603040686566,0
9,6,1.0,18.52800242310948,1
10,0,4.0,17.635495073739968,0
11,7,14.0,12.354473279957537,0
12,0,15.0,13.927757714490408,0
13,2,5.0,8.483177553699738,0
14,2,12.0,11.946296382830967,0
15,3,9.0,10.091208496614662,0
16,2,10.0,9.593537176777216,0
17,7,2.0,9.739288827414123,0
18,7,10.0,8.19252211773129,0
19,8,18.0,13.05764113521985,0
20,3,16.0,9.677317464046666,1
21,4,21.0,14.864089108128262,0
22,6,14.0,12.50790398919474,1
23,6,16.0,13.213675862205996,0
24,4,7.0,9.513480060115889,1
25,4,17.0,18.507574382945716,1
26,6,9.0,9.732351834263826,1
27,7,25.0,24.72445220312322,1
28,8,7.0,7.107915337016202,1
29,8,14.0,13.523239327094483,1
30,8,2.0,7.314133668074853,1
