task_id,station,execution_time,ergonomic_value,area_binary
1,1,7.0,11.298583950864812,0
2,0,19.0,15.339391699546264,0
3,1,15.0,10.570645868640966,0
4,2,5.0,18.09557491689158,0
5,3,12.0,8.811493012461693,0
6,2,10.0,10.240545093524302,0
7,0,8.0,10.23517315468296,0
8,3,16.0,15.249352584511223,0
9,0,2.0,14.230900353093665,0
10,1,6.0,11.158145567353564,0
11,3,21.0,14.100963047036643,1
12,2,10.0,7.270486020130754,1
13,4,9.0,8.661175294888844,0
14,2,4.0,9.50085010167247,0
15,4,14.0,11.036777643546875,0
16,3,7.0,10.206799106990808,1
17,5,14.0,11.479182095838448,0
18,4,17.0,10.61904468019007,1
19,4,10.0,7.535461381764262,1
20,5,16.0,15.92141060909045,1
21,4,1.0,3.3685939309138395,1
22,5,9.0,19.87071925344166,1
23,6,25.0,17.847513744675314,1
24,7,14.0,9.43657111687178,1
25,7,14.0,13.447497686600563,0
26,4,2.0,15.622840132544512,0
27,5,10.0,11.341419987941247,0
28,8,7.0,10.227605975261072,1
29,8,20.0,15.415370687141245,1
