task_id,station,execution_time,ergonomic_value,area_binary
1,0,10.0,24.52850211875568,0
2,14,53.0,31.957849144292563,0
3,4,41.0,43.488251205671055,0
4,11,36.0,21.87846841852459,0
5,5,35.0,22.13399494123457,0
6,3,17.0,27.248769170066527,0
7,12,34.0,29.49100690853921,0
8,10,23.0,17.225952987715072,0
9,0,14.0,21.11145987284397,0
10,18,52.0,28.09295308618005,0
11,1,33.0,30.38663495047744,0
12,2,34.0,29.315514210023903,0
13,2,12.0,17.70052887969853,0
14,1,52.0,35.12322828866047,0
15,3,12.0,25.35178966340445,0
16,2,33.0,20.68842905741996,0
17,3,44.0,29.933922484924683,0
18,2,7.0,17.382151861002644,0
19,5,15.0,17.275849235490483,0
20,5,13.0,17.15610643854804,0
21,7,29.0,30.34482434750938,1
22,4,37.0,31.47725636088126,0
23,6,43.0,32.70656669617277,0
24,5,23.0,29.73133189557344,0
25,15,24.0,17.26661840028627,0
26,8,9.0,17.76694272132823,0
27,6,16.0,21.49350346974139,0
28,0,12.0,21.56342878255462,0
29,8,26.0,22.041957527918772,1
30,6,22.0,24.242853590041648,0
31,8,51.0,31.99408076504123,1
32,0,47.0,35.79258105744805,0
33,7,34.0,22.637475266802507,0
34,7,23.0,55.87875526647955,0
35,9,12.0,14.237758597870096,0
36,9,52.0,52.572927490321305,1
37,9,12.0,18.38964205711273,1
38,15,33.0,24.396235787769328,1
39,10,44.0,37.84217668887975,1
40,12,7.0,12.799882027687865,1
41,10,15.0,20.92811797389765,1
42,12,13.0,18.566880200539742,1
43,12,29.0,20.683529926449435,0
44,11,37.0,61.80053343130196,0
45,13,43.0,49.89739645383375,1
46,13,23.0,26.16286772167916,0
47,14,24.0,17.695043198302862,1
48,16,9.0,18.16445318106159,1
49,13,16.0,26.01033418598798,1
50,18,12.0,19.257364797782657,1
51,15,26.0,41.30635222828852,1
52,16,12.0,13.822196958537075,1
53,16,52.0,28.68946859522549,1
54,16,12.0,15.218314578703351,1
55,17,33.0,56.23933024820805,0
56,17,44.0,36.96522920117759,1
57,18,7.0,19.293909626037077,1
58,18,15.0,15.309859737187104,1
