task_id,station,execution_time,ergonomic_value,area_binary
1,0,23.0,19.247164437641565,0
2,0,24.0,13.497763160175955,0
3,4,25.0,15.60885343558784,0
4,1,26.0,13.831728831180852,0
5,1,23.0,14.370641318136617,0
6,2,22.0,12.457403679678263,0
7,7,6.0,11.732249882104773,1
8,11,22.0,16.779451442829696,0
9,2,23.0,14.804219089849273,0
10,4,21.0,16.466113047323926,0
11,5,22.0,17.24526782268773,0
12,7,15.0,14.677929018971568,0
13,10,5.0,23.750011909834928,0
14,19,23.0,15.636932649575396,0
15,2,4.0,5.029227745246834,0
16,8,26.0,18.86840446724065,0
17,18,21.0,15.977731930302555,0
18,6,5.0,7.48417469635883,0
19,15,24.0,15.956171574606351,0
20,3,25.0,17.121721440581233,0
21,13,26.0,17.52401438591439,0
22,12,26.0,19.378618299495812,0
23,16,24.0,19.291887228892755,0
24,11,27.0,17.17604368045456,0
25,14,20.0,17.057180642137837,0
26,8,23.0,17.320939474180072,0
27,3,25.0,17.96131145808923,0
28,19,13.0,9.99579739153564,0
29,17,3.0,18.551473115803276,0
30,21,11.0,21.80083030487011,0
31,14,21.0,16.636501895741496,0
32,9,22.0,14.836947842873236,0
33,18,21.0,14.5857333884798,0
34,17,22.0,12.188125122501274,0
35,5,25.0,18.244073611897196,0
36,7,8.0,9.944268191326792,0
37,20,22.0,16.795006719337604,0
38,16,24.0,19.47436138693575,0
39,15,22.0,18.869710906447903,0
40,12,21.0,18.002551847668393,0
41,18,6.0,9.908126035826736,0
42,6,26.0,17.460939762473448,0
43,9,22.0,15.70870859360916,0
44,9,6.0,6.525880799259789,0
45,10,21.0,15.207921132095926,0
46,12,25.0,14.118643903345893,1
47,6,11.0,13.45240072747165,1
48,21,22.0,16.1285207904361,0
49,7,21.0,12.896220626032893,1
50,13,25.0,18.766174837247817,1
51,21,22.0,16.19136928266652,1
52,7,22.0,14.238291070794736,0
53,7,23.0,16.26599292142028,1
54,18,22.0,13.708155557810269,1
55,15,22.0,15.370973544864476,1
56,12,25.0,33.838147281113756,1
57,14,23.0,18.42879537490866,1
58,10,21.0,14.112069301714495,1
59,11,22.0,14.163070039394114,1
60,14,22.0,15.555910700913383,1
61,13,22.0,16.39787720797115,1
62,16,22.0,16.995980389549544,1
63,20,21.0,17.905076209903008,0
64,21,27.0,20.77097059659632,1
65,13,23.0,18.408840032670906,0
66,11,2.0,9.849587159686688,1
67,18,26.0,25.832775803857952,1
68,11,25.0,16.400299319931317,1
69,17,24.0,15.602938527816764,1
70,17,22.0,13.920846921667335,0
71,15,24.0,13.48262889506967,1
72,15,4.0,10.343840413676617,1
73,17,22.0,17.07318785041661,1
74,19,10.0,12.802648658123251,1
75,16,25.0,16.660720656232456,1
