task_id,station,execution_time,ergonomic_value,area_binary
1,0,971.0,1463.9109088216237,0
2,1,142.0,368.21380413191207,0
3,1,142.0,463.8086697795157,0
4,0,142.0,310.1611004990078,0
5,0,103.0,418.6442283899141,0
6,0,96.0,594.3332725736875,1
7,0,99.0,378.827142980104,0
8,0,1207.0,720.1777743110355,0
9,0,160.0,683.9391726422416,0
10,1,180.0,483.72188979112633,0
11,1,82.0,376.2392449953726,1
12,1,60.0,452.2832780286882,0
13,1,112.0,586.3311257057634,0
14,2,420.0,481.4267315716154,0
15,1,1556.0,1026.0347377150113,0
16,2,236.0,532.3606115444733,0
17,1,259.0,413.7963538481004,0
18,1,125.0,603.2519916452233,0
19,2,601.0,702.6861639395873,0
20,2,80.0,302.0660233175089,0
21,2,80.0,506.54174562205895,0
22,2,70.0,529.4714115665574,0
23,2,89.0,450.3695057352758,0
24,2,89.0,244.45074994943093,0
25,2,105.0,379.32212281007423,0
26,2,330.0,759.430726208462,0
27,2,132.0,498.94923039715104,0
28,2,69.0,226.6073696812268,0
29,2,99.0,550.6547194104935,0
30,2,70.0,862.664095630885,0
31,2,70.0,341.97613463721785,0
32,2,158.0,393.18060295053385,0
33,2,191.0,367.5571675214396,1
34,2,70.0,509.8621807689813,1
35,2,53.0,412.9493412311118,1
36,2,50.0,573.1723557149375,1
37,2,125.0,309.8877240073658,1
38,2,353.0,662.0824274321293,1
39,2,70.0,255.19313859706068,1
40,2,128.0,422.26580373702336,0
41,2,65.0,586.1889210537022,1
42,2,1775.0,1059.6037500130756,1
43,3,91.0,832.2698424698559,1
44,3,91.0,542.0013542843634,1
45,2,113.0,349.00170239316515,1
46,3,487.0,392.839009330293,1
47,3,138.0,419.4293535077756,1
48,3,80.0,282.73448089092767,1
49,3,80.0,363.36900310089055,1
50,3,65.0,230.13345825961085,0
51,3,40.0,402.3683359095575,1
52,3,742.0,538.5511477156397,1
53,3,1085.0,1214.8179455340426,1
