task_id,station,execution_time,ergonomic_value,area_binary
1,0,70.0,131.09418674541075,0
2,0,59.0,68.16616630392772,0
3,3,33.0,43.39021313581262,0
4,4,6.0,19.81490493740639,0
5,4,1.0,48.935106133090265,0
6,1,27.0,28.361150889208535,1
7,1,17.0,32.854651913360435,1
8,1,62.0,42.51438927076849,0
9,1,31.0,80.19534271937117,0
10,1,53.0,64.57349395639932,1
11,1,21.0,42.03069680597313,1
12,1,19.0,42.28846065640074,0
13,4,108.0,119.0149690447607,1
14,5,52.0,47.14352475609334,1
15,1,5.0,27.543884108143672,1
16,4,8.0,22.512290802145714,1
17,3,97.0,78.05084964617578,0
18,5,8.0,51.161688359445264,1
19,5,47.0,126.4840876889636,0
20,5,67.0,60.78093051368619,0
21,2,17.0,52.26022935038142,0
22,5,8.0,42.35317872195205,0
23,2,3.0,32.27989716347471,0
24,1,21.0,36.39906024429295,0
25,2,107.0,86.4936816405986,0
26,2,3.0,31.94417567241696,0
27,3,2.0,60.708576573218366,1
28,5,72.0,51.73676086890129,1
