task_id,station,execution_time,ergonomic_value,area_binary
1,0,4.0,4.126735270282701,0
2,0,3.0,4.931700859790982,0
3,1,9.0,6.4898901037745285,0
4,1,5.0,5.571517402622478,0
5,2,9.0,6.358631562396505,0
6,2,4.0,3.3922835010813133,0
7,3,8.0,4.721069078471466,0
8,4,7.0,6.621861359962642,0
9,4,5.0,5.267411219006566,0
10,7,1.0,2.932335941313477,0
11,5,3.0,4.015924601261866,1
12,3,1.0,2.679601439059095,0
13,5,5.0,4.069958572844424,0
14,5,3.0,2.991765003569733,0
15,3,5.0,8.66567627767239,0
16,5,3.0,4.91526005928826,1
17,4,13.0,7.975120453346101,1
18,5,5.0,5.479786824481444,0
19,6,2.0,2.3021313858135275,1
20,5,3.0,2.7765151946855395,1
21,6,7.0,6.262760585857265,1
22,7,5.0,3.408549820985002,1
23,5,3.0,5.31107773111496,1
24,7,8.0,7.10662222807764,1
25,6,4.0,4.622690540714483,1
