task_id,execution_time,ergonomic_value,predecessors,area,previous_station,area_binary,jain_workload,gini_workload,norm_range_workload,cv_workload,jain_ergonomic,gini_ergonomic,norm_range_ergonomic,cv_ergonomic
0,1,1,[],internal,0,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
1,7,2,[],external,1,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
2,6,3,[],external,0,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
3,6,5,[],external,0,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
4,7,5,[1],external,1,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
5,7,1,[2],internal,2,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
6,6,4,"[3, 2, 0]",internal,1,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
7,3,4,"[5, 2]",internal,2,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
8,5,1,[],internal,1,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
9,4,1,"[3, 4, 6]",external,1,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
10,4,2,"[3, 9, 6]",internal,2,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
11,6,5,"[0, 8, 6]",internal,3,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
12,3,1,"[9, 8, 2]",internal,1,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
13,2,1,"[10, 1, 12]",external,2,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
14,4,3,[9],internal,1,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
15,2,2,"[14, 6, 12]",external,1,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
16,6,5,[],external,2,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
17,4,2,"[12, 11, 1]",external,3,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
18,3,1,"[12, 13, 3]",internal,2,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
19,6,2,[],internal,0,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
20,6,3,"[15, 19]",external,2,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
21,4,3,"[11, 13, 2]",internal,3,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
22,6,1,[12],external,3,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
23,6,3,"[4, 10, 19]",external,2,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
24,4,4,"[8, 11]",internal,3,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
25,5,2,[18],external,3,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
26,3,4,"[23, 20]",internal,2,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
27,1,2,[],internal,1,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
28,4,5,[],internal,3,1,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
29,5,5,[13],external,3,0,0.9985962639023863,0.018907563025210083,0.1029411764652898,0.037492790541123415,0.965792794055797,0.08950086058519793,0.5903614457333429,0.18819878737124465
