instance,f1_min,f2_min,f3_min,f1_max,f2_max,f3_max
1,2.0,1.0,0.2666666666666666,16.0,9.0,1.0000000000000009
2,1.0,2.0,0.2499999999999999,20.0,14.0,1.0000000000000004
3,3.0,1.0,0.4666666666666666,15.0,11.0,1.000000000000001
4,4.0,1.0,0.2666666666666666,18.0,12.0,1.0000000000000009
5,1.0,0.0,0.2666666666666666,20.0,12.0,1.000000000000001
6,1.0,1.0,0.2666666666666666,17.0,14.0,1.000000000000001
7,4.0,1.0,0.1999999999999999,18.0,15.0,1.0000000000000004
8,3.0,1.0,0.4000000000000001,20.0,12.0,1.0000000000000004
9,2.0,1.0,0.4500000000000001,20.0,20.0,1.0000000000000004
10,3.0,3.0,0.2266666666666666,14.0,15.0,1.0000000000000002
