task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,6,5,[],internal,1
1,7,3,[0],external,1
2,7,1,[],internal,1
3,4,2,[1],external,2
4,2,3,[3],external,0
5,2,4,"[2, 1, 4]",external,1
6,5,5,[],internal,3
7,6,5,"[6, 2, 3]",external,1
8,4,4,"[3, 7, 4]",internal,4
9,6,3,"[7, 1]",internal,3
10,1,4,"[3, 2]",external,0
11,2,1,[],external,4
12,2,5,"[7, 11]",external,4
13,2,4,"[3, 4, 2]",internal,1
14,2,2,"[7, 13]",external,0
15,4,2,"[10, 12]",internal,4
16,2,2,"[12, 9]",external,0
17,4,1,[],internal,4
18,3,1,[],external,3
19,1,1,"[7, 9, 8]",external,3
20,3,5,"[10, 18, 17]",external,1
21,7,3,"[19, 20, 3]",external,4
22,3,3,"[7, 21, 19]",external,2
23,4,5,[],external,4
24,1,3,"[5, 2]",internal,2
25,6,2,[],internal,3
26,7,5,"[10, 15]",internal,1
27,4,4,"[15, 1]",internal,1
28,6,4,[],external,2
29,3,5,"[12, 22, 3]",internal,3
30,5,3,[],external,1
31,3,4,"[14, 12]",internal,0
32,7,5,"[19, 22]",external,2
33,4,5,[8],external,3
34,1,1,[],external,0
