task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,7,3,[],internal,2
1,6,3,[0],internal,3
2,3,5,[1],external,0
3,4,3,"[2, 1]",internal,0
4,6,4,[2],external,0
5,6,4,"[1, 0]",internal,2
6,5,2,"[0, 5, 3]",external,1
7,1,3,"[0, 2, 5]",internal,2
8,3,3,"[4, 2]",internal,2
9,2,4,[3],external,1
10,6,3,"[6, 3, 8]",internal,1
11,1,1,[3],internal,0
12,3,5,"[8, 7]",internal,1
13,3,4,"[7, 10]",external,0
14,5,2,"[12, 4, 6]",internal,3
15,7,3,[],internal,1
16,6,3,[],external,3
17,4,1,[12],internal,2
18,5,5,"[12, 11]",external,1
19,5,5,"[11, 17, 13]",internal,1
20,5,5,"[17, 12, 9]",internal,1
21,2,2,[6],internal,2
22,5,5,"[17, 13, 6]",external,1
23,4,2,"[8, 20, 14]",external,2
24,6,5,[3],external,1
25,1,4,"[6, 13]",internal,1
26,5,5,"[1, 6, 15]",external,2
27,5,5,[22],external,2
28,6,5,[16],internal,1
29,4,5,"[20, 28, 25]",internal,2
30,2,4,"[9, 8]",external,0
31,6,2,[],external,3
