task_id,execution_time,ergonomic_value,predecessors,area,previous_station,area_binary,jain_workload,gini_workload,norm_range_workload,cv_workload,jain_ergonomic,gini_ergonomic,norm_range_ergonomic,cv_ergonomic
0,4,4,[],internal,0,1,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
1,5,1,[],external,1,0,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
2,4,1,[0],external,0,0,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
3,2,1,"[0, 2]",external,0,0,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
4,3,5,"[1, 3, 2]",internal,1,1,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
5,1,1,"[1, 4, 0]",internal,1,1,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
6,1,3,[2],external,0,0,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
7,2,2,"[6, 2]",external,2,0,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
8,6,1,[1],internal,1,1,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
9,4,1,[6],external,0,0,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
10,7,1,[6],internal,1,1,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
11,6,1,[],internal,2,1,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
12,4,2,"[8, 9]",external,1,0,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
13,2,2,"[1, 6, 3]",internal,2,1,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
14,3,4,[],external,1,0,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
15,2,3,"[0, 4]",external,2,0,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
16,5,4,[],external,1,0,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
17,1,3,[6],internal,1,1,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
18,5,3,[12],internal,2,1,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
19,3,1,[],internal,0,1,0.9991843393148451,0.014285714285714285,0.057142857139591836,0.02857142857142857,1.0,0.0,0.0,0.0
