task_id,execution_time,ergonomic_value,predecessors,area,previous_station,area_binary,jain_workload,gini_workload,norm_range_workload,cv_workload,jain_ergonomic,gini_ergonomic,norm_range_ergonomic,cv_ergonomic
0,7,5,[],external,0,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
1,1,4,[0],external,0,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
2,4,5,[0],external,0,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
3,1,2,[],external,1,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
4,5,3,"[2, 0]",internal,0,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
5,1,4,[],external,1,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
6,2,2,"[5, 3, 0]",internal,1,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
7,7,1,"[1, 6]",external,1,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
8,3,2,"[6, 0, 3]",external,2,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
9,4,3,"[0, 6, 4]",external,1,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
10,4,2,[7],external,3,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
11,1,4,"[7, 1]",external,1,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
12,1,1,[],internal,0,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
13,5,1,[8],internal,2,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
14,2,4,"[12, 0]",internal,1,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
15,6,3,[0],internal,0,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
16,6,1,"[11, 12]",internal,1,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
17,5,3,[],internal,2,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
18,2,2,[],internal,3,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
19,2,3,"[15, 16, 1]",internal,2,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
20,3,4,"[17, 9, 19]",internal,2,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
21,6,5,"[2, 16, 15]",external,2,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
22,6,4,"[14, 20, 16]",internal,3,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
23,7,3,[21],internal,3,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
24,5,1,[15],external,0,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
25,4,1,[],internal,1,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
26,1,5,"[5, 22]",external,3,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
27,4,5,[11],external,2,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
28,2,3,[],internal,1,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
29,6,4,[],internal,0,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
30,4,1,"[28, 21, 26]",external,3,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
31,3,2,[8],internal,2,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
32,1,5,"[10, 21]",external,3,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
33,3,2,"[12, 13]",external,3,0,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
34,3,3,"[16, 2, 30]",internal,3,1,0.9829960994636763,0.0718503937007874,0.3149606299014198,0.13152199282275642,0.9859665427509293,0.06674757281553398,0.310679611626355,0.11930296822761657
