instance,f1_min,f2_min,f3_min,f1_max,f2_max,f3_max
1,1.0,2.0,0.4094434137291279,2.0,10.0,1.000000000000002
2,1.0,1.0,0.3036281179138316,3.0,11.0,0.779591836734693
3,2.0,3.0,0.294897959183673,8.0,11.0,1.000000000000001
4,0.0,2.0,0.2468253968253964,0.0,10.0,0.6087301587301576
5,1.0,1.0,0.2979365079365075,2.0,13.0,0.9999999999999972
6,1.0,1.0,0.3702947845804982,7.0,11.0,0.8612244897959175
7,1.0,5.0,0.2221088435374146,1.0,18.0,0.828571428571428
8,1.0,1.0,0.274444444444444,5.0,15.0,0.999999999999998
9,3.0,6.0,0.3072850958565244,9.0,14.0,0.8285714613807261
10,1.0,0.0,0.3405895691609972,6.0,12.0,0.9999999999999992
