task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,1,[],internal,1
1,1,3,[],internal,0
2,3,4,[1],external,0
3,5,2,"[2, 1, 0]",internal,0
4,7,1,[3],external,2
5,2,4,"[1, 2, 3]",external,1
6,7,5,[5],external,0
7,3,3,[2],internal,0
8,1,2,[3],external,0
9,6,1,"[3, 8]",external,2
10,1,3,[9],internal,0
11,5,5,"[9, 8]",external,1
12,1,3,"[4, 8, 3]",external,1
13,6,5,[4],internal,2
14,1,4,"[4, 0, 6]",external,0
15,5,5,"[0, 10, 6]",internal,1
16,4,5,"[14, 12]",external,3
17,5,5,[9],external,0
18,2,2,[15],internal,3
19,3,1,"[1, 9]",internal,0
20,4,5,"[8, 3]",internal,0
21,6,5,"[17, 9]",external,1
22,1,3,"[0, 21, 7]",external,1
23,2,1,"[22, 17, 14]",internal,3
24,3,5,[13],internal,3
25,6,3,"[22, 9, 20]",internal,2
26,7,1,"[17, 25, 9]",internal,2
27,7,1,"[26, 23]",internal,3
28,7,2,[11],external,1
29,2,5,[7],internal,2
